Entity Names,Activity End Date,Total Value,Assigned Owner Name,Status,Due Date,Creation Date,Document Control Number,Report Number,Queued By,Date of Determination,Accepted Date,FI Note to FinCEN,Primary Activity Subtype,Primary Activity Type,Queue Failed,Submitted Date,Type of Filing
Citrus Valley Farms,04/24/2025,242173,Robert Ellison,Accepted,06/27/2025,05/17/2025,DCN-S7001,SAR-2026-7001,Priya Natarajan,05/28/2025,06/09/2025,,Romance Scam,Elder Financial Exploitation,No,06/06/2025,Initial
Mesa Verde Grocers,04/26/2025,213410,Dana Kim,Accepted,06/03/2025,04/23/2025,DCN-S7002,SAR-2026-7002,Maria Delgado,05/04/2025,05/18/2025,,Trade-Based Laundering,Money Laundering,No,05/16/2025,Continuing Activity Report
Inland Empire Liquor,04/26/2025,166558,Priya Natarajan,Accepted,06/09/2025,05/06/2025,DCN-S7003,SAR-2026-7003,Kevin O’Rourke,05/10/2025,05/24/2025,,Check Fraud,Fraud,No,05/23/2025,Initial
Inland Empire Liquor,04/01/2025,468472,Luis Herrera,Accepted,06/01/2025,04/22/2025,DCN-S7004,SAR-2026-7004,Maria Delgado,05/02/2025,05/21/2025,,Synthetic Identity,Identity Theft,No,05/19/2025,Initial
Mesa Verde Grocers,04/15/2025,361603,Kevin O’Rourke,Accepted,06/18/2025,05/17/2025,DCN-S7005,SAR-2026-7005,Priya Natarajan,05/19/2025,05/29/2025,,Check Fraud,Fraud,No,05/28/2025,Initial
Golden State Autos,04/08/2025,291376,Luis Herrera,Accepted,06/14/2025,05/13/2025,DCN-S7006,SAR-2026-7006,Kevin O’Rourke,05/15/2025,05/31/2025,See attached narrative.,Cash Structuring,Structuring,No,05/29/2025,Initial
Sunrise Market LLC,05/12/2025,169351,James Whitfield,Accepted,06/16/2025,05/11/2025,DCN-S7007,SAR-2026-7007,Priya Natarajan,05/17/2025,06/03/2025,,Funnel Account Activity,Structuring,No,05/31/2025,Initial
Canyon Ridge Motors,04/09/2025,210676,Maria Delgado,Accepted,06/17/2025,05/14/2025,DCN-S7008,SAR-2026-7008,Priya Natarajan,05/18/2025,06/04/2025,,Romance Scam,Elder Financial Exploitation,No,06/01/2025,Initial
Canyon Ridge Motors,04/28/2025,91452,Ashley Tran,Accepted,06/27/2025,05/18/2025,DCN-S7009,SAR-2026-7009,Priya Natarajan,05/28/2025,06/09/2025,,ACH Fraud,Fraud,No,06/07/2025,Initial
Mesa Verde Grocers,04/09/2025,409769,Luis Herrera,Accepted,06/17/2025,05/09/2025,DCN-S7010,SAR-2026-7010,Priya Natarajan,05/18/2025,06/17/2025,,Trade-Based Laundering,Money Laundering,No,06/14/2025,Initial
Golden State Autos,04/10/2025,440687,Maria Delgado,Accepted,06/15/2025,05/13/2025,DCN-S7011,SAR-2026-7011,Dana Kim,05/16/2025,05/30/2025,,Layering,Money Laundering,No,05/28/2025,Initial
Redlands Pawn & Jewelry,05/03/2025,104937,Maria Delgado,Accepted,06/18/2025,05/16/2025,DCN-S7012,SAR-2026-7012,Dana Kim,05/19/2025,06/06/2025,,Trade-Based Laundering,Money Laundering,No,06/03/2025,Initial
Pacific Coast Vending,04/10/2025,110914,Dana Kim,Accepted,06/11/2025,05/03/2025,DCN-S7013,SAR-2026-7013,Kevin O’Rourke,05/12/2025,06/03/2025,,Account Takeover,Identity Theft,No,05/31/2025,Initial
Golden State Autos,05/10/2025,61278,James Whitfield,Accepted,06/18/2025,05/10/2025,DCN-S7014,SAR-2026-7014,Kevin O’Rourke,05/19/2025,06/06/2025,,Synthetic Identity,Identity Theft,No,06/05/2025,Initial
Canyon Ridge Motors,04/29/2025,218595,Priya Natarajan,Accepted,06/17/2025,05/11/2025,DCN-S7015,SAR-2026-7015,James Whitfield,05/18/2025,05/31/2025,,Synthetic Identity,Identity Theft,No,05/28/2025,Continuing Activity Report
Moreno Valley Transport,05/11/2025,316659,Priya Natarajan,Accepted,06/18/2025,05/15/2025,DCN-S7016,SAR-2026-7016,Priya Natarajan,05/19/2025,05/31/2025,,Account Takeover,Identity Theft,No,05/28/2025,Initial
Inland Empire Liquor,04/18/2025,457353,Maria Delgado,Accepted,06/12/2025,05/11/2025,DCN-S7017,SAR-2026-7017,Priya Natarajan,05/13/2025,05/29/2025,,Funnel Account Activity,Structuring,No,05/27/2025,Initial
Desert Bloom Nursery,05/04/2025,251518,Robert Ellison,Queue Failed,06/17/2025,05/06/2025,DCN-S7018,SAR-2026-7018,Priya Natarajan,05/18/2025,,,Layering,Money Laundering,Yes,,Initial
Sunrise Market LLC,04/15/2025,98456,Robert Ellison,Accepted,06/15/2025,05/12/2025,DCN-S7019,SAR-2026-7019,Priya Natarajan,05/16/2025,06/02/2025,,Trade-Based Laundering,Money Laundering,No,06/01/2025,Initial
Redlands Pawn & Jewelry,04/25/2025,466953,Dana Kim,Accepted,06/15/2025,05/12/2025,DCN-S7020,SAR-2026-7020,Maria Delgado,05/16/2025,06/05/2025,,Caregiver Abuse,Elder Financial Exploitation,No,06/04/2025,Continuing Activity Report
Inland Empire Liquor,05/08/2025,415687,Dana Kim,Accepted,06/26/2025,05/19/2025,DCN-S7021,SAR-2026-7021,Maria Delgado,05/27/2025,06/09/2025,See attached narrative.,Synthetic Identity,Identity Theft,No,06/07/2025,Initial
Moreno Valley Transport,04/20/2025,431297,Maria Delgado,Accepted,06/05/2025,04/29/2025,DCN-S7022,SAR-2026-7022,Kevin O’Rourke,05/06/2025,05/23/2025,,Layering,Money Laundering,No,05/22/2025,Initial
Moreno Valley Transport,04/28/2025,117568,Dana Kim,Accepted,06/08/2025,04/30/2025,DCN-S7023,SAR-2026-7023,Priya Natarajan,05/09/2025,05/20/2025,,Check Fraud,Fraud,No,05/17/2025,Initial
Sunrise Market LLC,05/05/2025,65787,James Whitfield,Accepted,06/26/2025,05/24/2025,DCN-S7024,SAR-2026-7024,Dana Kim,05/27/2025,06/04/2025,See attached narrative.,Synthetic Identity,Identity Theft,No,06/03/2025,Continuing Activity Report
Pacific Coast Vending,04/26/2025,324175,Kevin O’Rourke,Accepted,06/06/2025,04/30/2025,DCN-S7025,SAR-2026-7025,Maria Delgado,05/07/2025,05/22/2025,,Synthetic Identity,Identity Theft,No,05/20/2025,Initial
Inland Empire Liquor,05/21/2025,463058,Priya Natarajan,Accepted,07/09/2025,06/03/2025,DCN-S7026,SAR-2026-7026,James Whitfield,06/09/2025,06/26/2025,,Romance Scam,Elder Financial Exploitation,No,06/23/2025,Initial
Golden State Autos,05/09/2025,164935,Luis Herrera,Accepted,07/09/2025,05/28/2025,DCN-S7027,SAR-2026-7027,Dana Kim,06/09/2025,06/27/2025,,Wire Fraud,Fraud,No,06/26/2025,Initial
Pacific Coast Vending,06/07/2025,15058,Ashley Tran,Accepted,07/20/2025,06/12/2025,DCN-S7028,SAR-2026-7028,Maria Delgado,06/20/2025,07/19/2025,,Romance Scam,Elder Financial Exploitation,No,07/15/2025,Continuing Activity Report
Golden State Autos,05/24/2025,271334,Kevin O’Rourke,Accepted,07/04/2025,05/30/2025,DCN-S7029,SAR-2026-7029,James Whitfield,06/04/2025,06/19/2025,,Account Takeover,Identity Theft,No,06/17/2025,Continuing Activity Report
Moreno Valley Transport,06/18/2025,183583,Priya Natarajan,Accepted,07/25/2025,06/22/2025,DCN-S7030,SAR-2026-7030,James Whitfield,06/25/2025,07/17/2025,,Synthetic Identity,Identity Theft,No,07/14/2025,Continuing Activity Report
Citrus Valley Farms,05/23/2025,267149,Kevin O’Rourke,Queue Failed,07/27/2025,06/17/2025,DCN-S7031,SAR-2026-7031,Dana Kim,06/27/2025,,,Cash Structuring,Structuring,Yes,,Initial
Citrus Valley Farms,05/24/2025,221093,Dana Kim,Accepted,07/08/2025,05/29/2025,DCN-S7032,SAR-2026-7032,Maria Delgado,06/08/2025,06/27/2025,,Romance Scam,Elder Financial Exploitation,No,06/24/2025,Initial
